lu_class,proportions
Barren Land,0.5045898152969865
Cultivated Crops,20.054777362875747
Deciduous Forest,20.33490596686114
"Developed, High Intensity",4.195466752797504
"Developed, Low Intensity",14.76494446436421
"Developed, Medium Intensity",10.184440574011386
"Developed, Open Space",9.668105891735724
Emergent Herbaceous Wetlands,2.1685532012941637
Evergreen Forest,0.9636607356954533
Grassland/Herbaceous,0.939159643672016
Mixed Forest,1.634071279175709
Pasture/Hay,5.54089169994322
Shrub/Scrub,0.17311405764475002
Water,5.358996147918842
Woody Wetlands,3.514322406713147
