lu_class,proportions
Barren Land,1.0028915972524477
Cultivated Crops,24.62863488919164
Deciduous Forest,21.65043459739281
"Developed, High Intensity",2.80943374507694
"Developed, Low Intensity",6.9739158461523765
"Developed, Medium Intensity",5.426160770187623
"Developed, Open Space",7.544755825011922
Emergent Herbaceous Wetlands,1.5426462327930694
Evergreen Forest,0.35857057188707103
Grassland/Herbaceous,0.39529707473648845
Mixed Forest,1.6295942017007063
Pasture/Hay,8.620570397479929
Shrub/Scrub,0.04746617530180516
Water,9.888547011401595
Woody Wetlands,7.4810810644335755
