date,location
2014-08-31 11:00:03-05:00,"(32.36830455, -92.01185168)"
2014-09-19 00:00:00,"(32.447999, -93.673639)"
2015-07-27 00:00:00,"(32.57561, -97.096532)"
2016-09-17 11:31:00-05:00,"(32.613584267, -96.9709378481)"
2016-08-20 17:05:00-05:00,"(40.286312, -96.826208)"
2017-04-15 12:12:00-05:00,"(29.7660073056, -95.5841463333)"
2017-08-16 15:06:03-05:00,"(41.71383949, -88.27604148)"
2017-08-12 12:40:00-05:00,"(38.9462283333, -92.4465733333)"
2017-09-11 14:14:11-05:00,"(33.7894837093, -89.8636621424)"
2017-09-15 14:13:10-05:00,"(41.58440984, -90.34108233)"
2017-10-12 15:44:17-05:00,"(44.8942598473, -93.3764941675)"
,"(40.154135, -83.027184)"
,"(40.15558, -83.18844)"
1975-01-01 12:00:00-05:00,"(43.3176493678, -80.3138002753)"
2018-06-03 12:35:32-05:00,"(41.29180833, -96.04031821)"
2018-06-09 10:37:09-05:00,"(32.6974166667, -97.4511966667)"
2017-09-26 15:17:00-04:00,"(39.2045694444, -87.4494555556)"
2017-08-10 13:35:36-04:00,"(40.2624133333, -85.1513528333)"
2017-09-06 12:25:27-04:00,"(40.2730966667, -86.8811866667)"
2017-09-07 11:42:08-04:00,"(39.9060143426, -86.6564372437)"
2017-09-12 16:23:32-04:00,"(40.881295, -87.4911716667)"
2017-09-26 15:17:13-04:00,"(39.20457, -87.449455)"
2017-07-21 12:14:00-04:00,"(40.2626583333, -85.1511916667)"
2016-06-25 09:46:00-04:00,"(40.2729618392, -86.8812413963)"
2018-06-28 15:40:16-05:00,"(40.6017328101, -90.3309113347)"
2018-06-28 10:26:51-05:00,"(41.1372302, -96.12955773)"
2018-07-05 13:09:34-05:00,"(40.7781673456, -89.6353101824)"
2018-07-09 19:45:36-05:00,"(29.7847170336, -95.4365506769)"
2018-07-14 09:54:06-05:00,"(32.6858583333, -97.3749133333)"
2018-07-16 10:10:03-05:00,"(29.8519397294, -96.0258884077)"
2018-07-16 10:16:59-05:00,"(29.8510003276, -96.0257356056)"
2018-07-16 11:58:26-05:00,"(29.8146075709, -96.0841629189)"
2018-07-16 12:07:30-05:00,"(29.8148633447, -96.0842424632)"
2018-07-16 12:12:56-05:00,"(29.8148257938, -96.0844893102)"
2018-07-20 20:35:38-05:00,"(29.7616924905, -95.6060315018)"
2018-07-20 20:38:16-05:00,"(29.7617493198, -95.6060248801)"
2018-07-21 20:04:00-05:00,"(29.761782, -95.606857)"
2018-07-21 12:28:00-04:00,"(41.8613583333, -83.6706277778)"
2018-07-22 07:16:12-05:00,"(29.7622194188, -95.5873690267)"
