,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,land_cover_class,human_mediated/natural,proportion_agricultural_300m,shannon_idx_300m,top_class_300m
0,176871968,95c938a8-f762-11e1-a439-00145eb45e9a,0b41ccfd-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"W Lyon co line, 1 mi W",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.33217,-96.3733,43.61,,,,,,9/22/94,22.0,9.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,112023,,Ronald L McGregor,,CC_BY_4_0,,Kevin Edwards,,,09:34.9,,GEODETIC_DATUM_ASSUMED_WGS84,Grassland/Herbaceous,natural,9.126649817467005,0.706372703031231,Grassland/Herbaceous
1,176871969,95c938a8-f762-11e1-a439-00145eb45e9a,0b3ac5e7-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Lyndon, 1 mi S",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.590665,-95.687794,540.0,,,,,,8/17/94,17.0,8.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,111414,,Ronald L McGregor,,CC_BY_4_0,,Robert E Russell,,,09:34.6,,,Pasture/Hay,human_mediated,81.42137660884164,1.149289243390357,Pasture/Hay
2,176871979,95c938a8-f762-11e1-a439-00145eb45e9a,0bb87519-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Waverly, SE side of town",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,42.722531,-92.461035,486.0,,,,,,8/30/97,30.0,8.0,1997,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,314100,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,09:42.9,,,Emergent Herbaceous Wetlands,natural,18.957871396895783,2.062612564848852,"Developed, Low Intensity"
3,176871983,95c938a8-f762-11e1-a439-00145eb45e9a,0b506d98-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Lawrence, KU campus, on N side of Sunnyside Avenue, between Sunflower Road and rear entrance to Haworth Hall",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.956259,-95.247175,155.0,,,,,,11/11/94,11.0,11.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,113040,,Ronald L McGregor,,CC_BY_4_0,,Caleb A Morse,,,09:35.8,,,"Developed, Low Intensity",human_mediated,0.0,1.1622538837830336,"Developed, Low Intensity"
4,176871997,95c938a8-f762-11e1-a439-00145eb45e9a,026a4b1b-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Homewood, 3 mi S, 1 mi E; Ottawa University Natural History Reservation (""""Ferndells"""")",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.472778,-95.358333,,,,,,,9/24/02,24.0,9.0,2002,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,343578,,Caleb A Morse,,CC_BY_4_0,,Caleb A Morse; Craig C Freeman; Terry Malloy,,,05:52.1,,COORDINATE_ROUNDED,Deciduous Forest,natural,39.01006711409396,1.0817550435860943,Deciduous Forest
5,176872000,95c938a8-f762-11e1-a439-00145eb45e9a,03046d23-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Shell Rock, 0.5-3 mi N; Butler Count Nature Trail",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,42.7318,-92.582,,,,,,,9/3/05,3.0,9.0,2005,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,352697,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,06:55.5,,,Deciduous Forest,natural,48.41578654808227,1.9028194327041656,Cultivated Crops
6,176872001,95c938a8-f762-11e1-a439-00145eb45e9a,03067402-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Fort Leavenworth Military Reservation, NE part, N side of Sherman Army Airfield, just S of Weston Bend of the Missouri River",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.38,-94.900278,,,,,,,9/30/03,30.0,9.0,2003,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,345053,,Caleb A Morse,,CC_BY_4_0,,Caleb A Morse,,,06:56.7,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Woody Wetlands,natural,3.955431754874652,0.4842565410334844,Woody Wetlands
7,176872003,95c938a8-f762-11e1-a439-00145eb45e9a,032fe42c-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Waverly, N edge of town; Three Rivers Pond",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,42.736323,-92.467743,168.0,,,,,,8/7/97,7.0,8.0,1997,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,314995,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,07:04.1,,,Water,natural,22.41044154401555,2.178948540955748,"Developed, Low Intensity"
8,176872005,95c938a8-f762-11e1-a439-00145eb45e9a,037ed091-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Grandview Plaza, 1.5 mi NE; Fort Riley Military Reservation, Main Post",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.054722,-96.778333,,,,,,,9/20/02,20.0,9.0,2002,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,338353,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,07:13.3,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Barren Land,natural,19.359370609721832,2.1738994181938684,Cultivated Crops
9,176872006,95c938a8-f762-11e1-a439-00145eb45e9a,03be31cd-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Junction City, N edge of town; Fort Riley Military Reservation, Training Unit 25, Riverwalk Trail",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.0475,-96.833333,,,,,,,9/19/02,19.0,9.0,2002,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,339008,,James B Beck,,CC_BY_4_0,,Craig C Freeman,,,07:22.9,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Barren Land,natural,5.02808988764045,2.0504862580183687,Deciduous Forest
10,176872007,95c938a8-f762-11e1-a439-00145eb45e9a,03c577c9-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Junction City, 5.5 mi N",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.123333,-96.800556,,,,,,,10/15/02,15.0,10.0,2002,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,338127,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,07:23.6,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,Grassland/Herbaceous,natural,0.0,1.47933037674324,Grassland/Herbaceous
11,176872008,95c938a8-f762-11e1-a439-00145eb45e9a,03dd7579-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"T4S, R2W, sec 20",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.689838,-97.565385,1166.0,,,,,,8/25/95,25.0,8.0,1995,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,330723,,Ronald L McGregor,,CC_BY_4_0,,Jeff Elliott,,,07:22.9,,,Cultivated Crops,human_mediated,51.53477893551113,0.9768979297061334,Cultivated Crops
12,176872011,95c938a8-f762-11e1-a439-00145eb45e9a,04de0a61-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Finchford, 0.2 mi NE; Thunder Woman County Park",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,42.6295,-92.53096,,,,,,,7/24/06,24.0,7.0,2006,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,354571,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,07:49.6,,,Woody Wetlands,natural,55.81459894532335,1.5824628875890254,Cultivated Crops
13,176872132,95c938a8-f762-11e1-a439-00145eb45e9a,0d94493a-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Junction City, 1.5 mi N; Fort Riley Military Reservation, Training Unit 17",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.072222,-96.805278,,,,,,,9/19/02,19.0,9.0,2002,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,339042,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,10:35.0,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Deciduous Forest,natural,2.6936026936026938,1.447069028231981,Grassland/Herbaceous
14,176872133,95c938a8-f762-11e1-a439-00145eb45e9a,0d957522-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Sylvia, 9.5 mi N, 0.5 mi W [use: 22 Sep]",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.095833,-98.416667,,,,,,,9/22/99,22.0,9.0,1999,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,325031,,James B Beck,,CC_BY_4_0,,Caleb A Morse,,,10:30.7,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,Grassland/Herbaceous,natural,0.0282246683601467,0.2192942857739722,Grassland/Herbaceous
