lu_class,proportions
Barren Land,0.20802077524470353
Cultivated Crops,59.28659746488424
Deciduous Forest,14.270673518872396
"Developed, High Intensity",0.7110053243969102
"Developed, Low Intensity",4.909510648050392
"Developed, Medium Intensity",2.3697405316768343
"Developed, Open Space",4.454086208431604
Emergent Herbaceous Wetlands,0.53836134866853
Evergreen Forest,0.17200859197433596
Grassland/Herbaceous,0.21705492116414118
Mixed Forest,0.6055682970428764
Pasture/Hay,8.17960086282933
Shrub/Scrub,0.0545582519726584
Water,1.9683242067709625
Woody Wetlands,2.0548890480200837
